timestamp,lane,vid,rfid,rfidNum,match
2025-08-12 09:07:49,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:07:50,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:07:51,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:07:52,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:07:53,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:07:54,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:07:55,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:07:56,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:07:57,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:07:58,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:07:59,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:08:00,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:08:01,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:54:40,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:54:41,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:54:42,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:54:43,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:54:44,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:54:45,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:54:46,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:54:47,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:54:48,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 09:54:49,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 13:36:17,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 13:36:18,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 13:36:19,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
2025-08-12 13:36:20,1,"'1-BBT2809,12344321\r\n'",'empty',empty,False
